"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"1775","Brule","Wisconsin Electric Power Co","20847","WI","HYC",19.0770000000000000
"1776","Chalk Hill","Wisconsin Electric Power Co","20847","MI","HYC",41.3520000000000000
"1777","Hemlock Falls","Wisconsin Electric Power Co","20847","MI","HYC",10.1900000000000000
"1778","Kingsford","Wisconsin Electric Power Co","20847","MI","HYC",27.0590000000000000
"1780","Michigamme Falls","Wisconsin Electric Power Co","20847","MI","HYC",54.9550000000000000
"1781","Peavy Falls","Wisconsin Electric Power Co","20847","MI","HYC",79.1330000000000000
"1785","Way Dam","Wisconsin Electric Power Co","20847","MI","HYC",11.5680000000000000
"1786","White Rapids","Wisconsin Electric Power Co","20847","MI","HYC",43.1540000000000000
"1787","Grand Rapids","Wisconsin Public Service Corp","20860","MI","HYC",38.1660000000000000
"1891","Syl Laskin","ALLETE, Inc.","12647","MN","DFO",0E-20
"1891","Syl Laskin","ALLETE, Inc.","12647","MN","NG",16.4730000000000000
"1891","Syl Laskin","ALLETE, Inc.","12647","MN","COL",0E-20
"1892","Blanchard","ALLETE, Inc.","12647","MN","HYC",111.0190000000000000
"1893","Clay Boswell","ALLETE, Inc.","12647","MN","DFO",0E-20
"1893","Clay Boswell","ALLETE, Inc.","12647","MN","NG",17.9620000000000000
"1893","Clay Boswell","ALLETE, Inc.","12647","MN","COL",4165.7910000000000000
"1893","Clay Boswell","ALLETE, Inc.","12647","MN","COL",19.6240000000000000
"1894","Fond Du Lac","ALLETE, Inc.","12647","MN","HYC",50.3240000000000000
"1895","Knife Falls","ALLETE, Inc.","12647","MN","HYC",11.6900000000000000
"1896","Little Falls (MN)","ALLETE, Inc.","12647","MN","HYC",33.6920000000000000
"1897","M L Hibbard","ALLETE, Inc.","12647","MN","NG",0.65500000000000000000
"1897","M L Hibbard","ALLETE, Inc.","12647","MN","COL",1.2870000000000000
"1897","M L Hibbard","ALLETE, Inc.","12647","MN","WWW",28.9160000000000000
"1898","Pillager","ALLETE, Inc.","12647","MN","HYC",12.0550000000000000
"1899","Scanlon","ALLETE, Inc.","12647","MN","HYC",7.4290000000000000
"1900","Sylvan","ALLETE, Inc.","12647","MN","HYC",12.0630000000000000
"1901","Thomson","ALLETE, Inc.","12647","MN","HYC",289.9990000000000000
"1902","Winton","ALLETE, Inc.","12647","MN","HYC",16.2590000000000000
"1904","Black Dog","Northern States Power Co - Minnesota","13781","MN","NG",391.8600000000000000
"1904","Black Dog","Northern States Power Co - Minnesota","13781","MN","DFO",0E-20
"1904","Black Dog","Northern States Power Co - Minnesota","13781","MN","NG",814.7460000000000000
"1904","Black Dog","Northern States Power Co - Minnesota","13781","MN","DFO",0E-20
"1904","Black Dog","Northern States Power Co - Minnesota","13781","MN","NG",357.2890000000000000
"1911","Hennepin Island","Northern States Power Co - Minnesota","13781","MN","HYC",66.8590000000000000
"1912","High Bridge","Northern States Power Co - Minnesota","13781","MN","NG",1030.0090000000000000
"1912","High Bridge","Northern States Power Co - Minnesota","13781","MN","NG",1678.0810000000000000
"1913","Inver Hills","Northern States Power Co - Minnesota","13781","MN","DFO",0.25000000000000000000
"1913","Inver Hills","Northern States Power Co - Minnesota","13781","MN","NG",17.1600000000000000
"1915","Allen S King","Northern States Power Co - Minnesota","13781","MN","DFO",-0.04900000000000000000
"1915","Allen S King","Northern States Power Co - Minnesota","13781","MN","NG",-24.6720000000000000
